1	"Se potessimo cacciare tutti i parassiti dall'Italia, dai rom ai colletti bianchi, resteremmo in pochi #dallavostraparte"
2	"#QuintaColonnama se è assodato che i rom, zingari, vengono in ITALIA x rubare, perché li fanno parlare? Un buchetto in fronte e via."
3	"Mons. Liberati: “In 10 anni l’Europa sarà islamica grazie all’immigrazione. Impugnamo la spada! https://t.co/fupZW2dZvB via @RiscattoNaz"
4	"Gioventù italiana dal sud al nord, quando gli immigrati toccano un italiano/a, tutti per uno e uno per tutti,bastonare ad occhi aperti"
5	"@islamlie2 allora dobbiamo stringere la corda.pena capitale x tutti musulmani in Europa immediatamente!"
6	"La donna islamica passa accanto alla vittima. Ecco la foto che sconvolge 😷 questa tizia va integrata? ...A CALCI!  https://t.co/GUBaHM1oK0"
7	"#Matrix quella schifosa rom prende anche in giro, speriamo che cn i loro fuochi tossici si brucino e crepino tutti alla svelta, TOLLERANZA 0"
8	"Qui in Europa avremmo bisogno di un Milosevic per fare una pulizia etnica con i musulmani, lo avevamo ma il buon vecchio Clinton lo processò"
9	"@2016Laurabanca devono bruciarli vivi pezzi di merda loro e tutto lislam"
10	"il discorso è semplice: l'islam messo fuori legge, e gli islamici a casa loro. E' una religione incivile e violenta… https://t.co/AdqI3he0Rk"
11	"quanti morti ci devono ancora essere prima di capire che l'immigrazione islamica e africana è un cancro? #stopimmigrazione #stopislam"
12	"@repubblicait tutto tempo danaro e sacrificio umano sprecato senza eliminazione fisica dei talebani e dei radicali musulmani è tutto inutile"
13	"@HopeDieBefore @angelo_ra_ @repubblica la prossima resistenza la dovremo fare subito contro gli invasori islamici!"
14	"@magdicristiano @angelo_ra_ Ci vuole la guerra per salvare l'Italia dai criminali filo islamici. https://t.co/TqHWKr74jB"
15	"@aryelmylly Col nemico islamico usare la forza anche se non serve, bloccando loro il canale finanziario. Mai mi piegherò al #PensieroUnico👎!"
16	"#dallavostraparte con tutti i soldi elargiti ai rom,vedere il degrado nel quali si crogiolano,non meritano di rimanere in un paese civile!"
17	"@stefanocarlo2 @SONIAGROTTO @saraosalvatore @Valentina7vale non è vero, è valore aggiunto per far insediare i bipedi islamici ! Via tutti"
18	"Sarebbe da VIETARE il culto dell'islam, bisognerebbe DISTRUGGERE le moschee, DEPORTARE tutti gli islamici e dichiar… https://t.co/N3oFTopbC5"
19	"@islamlie2 @gasparripdl @a_meluzzi @magdicristiano @LucioMalan un certo Adolf sarebbe utile ancora oggi con certi soggetti.. non dico altro!"
20	"@Piovegovernolad più sento quello che combinano i rom più mi viene voglia di bruciarli tutti!!!!"
21	"@repubbl Per la nostra sicurezza bisogna identificare tutti quei fetidi di beduini islamici che sono andati davanti al colosseo e cacciarli"
22	"@PaoloGentiloni gli #islamici  discriminano ed uccidono i cristiani basta islamici in Italia pensate agli italiani in povertà, bene #Trump"
23	"va buttato nei fossi dopo averlo marzagrato di botte ...tanto il giudce li darà i domiciliari --al rom... https://t.co/vCc5OYc13P"
24	"Sanno che non gli faranno nulla ... cacciamo i rom, dall'Italia, con la forza e senza pietà ..."
25	"Governo malefico state rovinando l'italia, facciamo qualcosa alla svelta e sbattiamo fuori i profughi criminali, la Sardegna e  invasa basta"
26	"@gardenrosesSB @matteosalvinimi  L'islam odia il mondo. Unica soluzione è eliminarlo definitivamente dalla vita terrena."
27	"Ma 'sequestro di persona' dove? Ma ce la fate? Che ignoranti quelli che difendono i rom, la peggior feccia sulla faccia della terra #Lidl"
28	"@matteosalvinimi  I rom sono tutti delinquenti, per cui se un poliziotto spara, ha fatto il suo dovere, se li uccide è meglio uno in meno."
29	"@vonRomberg @MASSIMO097 @BonkeKolja  islam cancro del mondo e distruzione della civiltà"
30	"Tutti i muslims presenti in Europa rappresentano un pericolo mortale latente. L'islam è incompatibile con i valori occidentali."
31	"@MadamPopper @kepler196a non è speculazione ma semplice constatazione che condivido #StopIslam perché tutti i #terroristi sono #musulmani"
32	"@Marcello_1979 i gattini non rubano. I rom sono tutti ladri e delinquenti.  Rom e zingari fuori dai coglioni.  Sono feccia umana"
33	"Roma, colpisce una pecora con il pallone: bambino rom accecato da un pastore https://t.co/KsSAS3fUx9 @ilmessaggeroit HA DIFESO I SUOI AVERI!"
34	"Zingari di merda,tutti al muro...bastardi Sparano ai carabinieri dopo la rapina: presi nel campo nomadi di Giugliano https://t.co/efYYDutXvs"
35	"I rom sono feccia e vanno cacciati a calci dall'Italia. Perchè chi vive di furti e usa i bambini è feccia. Punto. #biancoenero"
36	"#cartabianca I rom tutti fuori...... Chi ha diritto è il benvenuto....chi no....fuori dai coglioni"
37	"ITALIA UNITA da SUD a NORD!Nemici non sono NAPOLETANI ne' LEGHISTI,ma questa orda Afroislamica che ci invade pagata… https://t.co/v7zHmVPL8f"
38	"L'unico modo per ridare sicurezza all'Occidente è espellere i mussulmani. L'islam è assolutamente incompatibile con il ns sistema di vita."
39	"@giov4you @LaGabbiaTw voglio le chiese in tutto islam e con i preti pedofilimche si inculano quelle merde!!😀👍✌️"
